Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
Where in an HTML document is the correct place to refer to an external style sheet?,At the end of the document,In the <head> section,At the top of the document,In the <body> section,,,2,CSS,1
Which is the correct CSS syntax?,body {color: black},{body;color:black},{body;color:black},body:color=black,,,1,CSS,1
Which property is used to change the background color?,bgcolor:,background-color:,color:,,,,2,CSS,1
How do you change the font of an element?,font-family:,font=,f:,,,,1,CSS,1
How do you make a list that lists its items with squares?,type: 2,type: square,list-type: square,list-style-type: square,,,4,CSS,1
A webpage displays a picture. What tag was used to display that picture?,picture,Image,img,src,,,3,HTML,1
<b> tag makes the enclosed text bold. What is other tag to make text bold?,<strong>,<dar>,<black>,<emp>,,,1,HTML,1
hich tag inserts a line horizontally on your web page?,<hr>,<line>,<line direction=”horizontal”>,<tr>,,,1,HTML,1
How can you make an e-mail link?,<a href=”xxx@yyy”>,<mail href=”xxx@yyy”>,<mail>xxx@yyy</mail>,<a href=”mailto:xxx@yyy”>,,,4,HTML,1
What is the correct HTML for making a hyperlink?,<a href=”http:// mcqsets.com”>ICT Trends Quiz</a>,<a name=”http://mcqsets.com”>ICT Trends Quiz</a>,<http://mcqsets.com</a>,url=”http://mcqsets.com”>ICT Trends Quiz,,,1,HTML,1
Which tag creates a check box for a form in HTML?,<checkbox>,<input type=”checkbox”>,<input=checkbox>,<input checkbox>,,,2,HTML,1
What is the full form of HTML?,Hyper text markup language,Hyphenation text markup language,Hyphenation test marking language,Hyper text marking language,,,1,HTML,1
<TITLE> … </TITLE> tag must be within ________,Title,Form,Header,Body,,,3,HTML,1
Which HTML tag produces the biggest heading? ,<h7>,<h9>,<h1>,<h4>,,,3,HTML,1
"Main container for <TR>, <TD> and <TH> is",<TABLE>,<GROUP>,<DATA>,All of these,,,1,HTML,1
jQuery uses CSS selectors to select elements?,TRUE,FALSE,,,,,1,Jquery,1
Which jQuery method is used to hide selected elements?,hidden(),hide(),visible(false),display(none),,,2,Jquery,1
"Which jQuery function is used to prevent code from running, before the document is finished loading?",$(document).load(),$(document).ready(),$(body).onload(),,,,3,Jquery,1
" Which of the following are correct ways of creating an array?
i) state[0] = “karnataka”;
ii) $state[] = array(“karnataka”);
iii) $state[0] = “karnataka”;
iv) $state = array(“karnataka”);",iii) and iv),ii) and iii),Only i),"ii), iii) and iv)",,,1,PHP,1
"<?php 
$states = array(""karnataka"" => array( ""population"" => ""11,35,000"", ""captial"" => ""Bangalore""),""Tamil Nadu"" => array( ""population"" => ""17,90,000"", ""captial"" => ""Chennai"") );
echo $states[""karnataka""][""population""];
?>","karnataka 11,35,000","11,35,000","population 11,35,000",karnataka population,,,2,PHP,1
Which function will return true if a variable is an array or false if it is not?,this_array(),is_array(),do_array(),in_array(),,,2,PHP,1
Which two predefined variables are used to retrieve information from forms?,$GET & $SET, $_GET & $_SET,$__GET & $__SET,GET & SET,,,2,PHP,1
The attack which involves the insertion of malicious code into a page frequented by other users is known as..,basic sql injection,advanced sql injection,cross-site scripting,scripting,,,3,PHP,1
"When you use the $_GET variable to collect data, the data is visible to..",none,only you,everyone,selected few,,,3,PHP,1
"
<?php
$array = array (1, 2, 3, 5, 8, 13, 21, 34, 55);
$sum = 0;
for ($i = 0; $i < 5; $i++) {
$sum += $array[$array[$i]];
}
echo $sum;
?> 
",78,19,NULL,5,0,,3,PHP,1
